País,Tarics,Descripción,Año,Exportaciones,Importaciones
Canadá,0403,"Huevos, productos lácteos y miel",2007,314.90,5.14
Canadá,0404,"Huevos, productos lácteos y miel",2007,1829.58,1352.56
Canadá,0405,"Huevos, productos lácteos y miel",2007,979.69,342.19
Canadá,0406,"Huevos, productos lácteos y miel",2007,95439.35,0.70
Canadá,0407,"Huevos, productos lácteos y miel",2007,10.76,4943.37
Canadá,0408,"Huevos, productos lácteos y miel",2007,0.53,1021.21
Canadá,0409,"Huevos, productos lácteos y miel",2007,447.17,897.74
Canadá,1509,Aceites,2007,71980.39,29.11
Canadá,1511,Aceites,2007,2438.69,nan
Canadá,1512,Aceites,2007,686.95,10.09
Canadá,2201,Bebidas,2007,40179.89,206.64
Canadá,2202,Bebidas,2007,42514.10,7108.82
Canadá,2203,Bebidas,2007,123636.26,716.18
Canadá,2204,Bebidas,2007,564818.33,1067.15
Canadá,2205,Bebidas,2007,5906.93,0.07
Canadá,2206,Bebidas,2007,2335.65,649.68
Canadá,2207,Bebidas,2007,107.59,32.32
Canadá,1803,Chocolates,2007,173.90,8.72
Canadá,1804,Chocolates,2007,98.77,0.31
Canadá,1805,Chocolates,2007,6208.22,27.21
Canadá,1905,Panaderia y pastelería,2007,65576.85,4896.24
Canadá,0201,Productos cárnicos,2008,1.14,4081.35
Canadá,0202,Productos cárnicos,2008,1.38,1055.33
Canadá,0203,Productos cárnicos,2008,12134.40,nan
Canadá,0204,Productos cárnicos,2008,nan,nan
Canadá,0205,Productos cárnicos,2008,nan,38090.85
Canadá,0206,Productos cárnicos,2008,418.91,333.71
Canadá,0207,Productos cárnicos,2008,225.33,5.24
Canadá,0208,Productos cárnicos,2008,nan,297.25
Canadá,0209,Productos cárnicos,2008,5.45,0.08
Canadá,0210,Productos cárnicos,2008,5426.76,nan
Canadá,0302,Pescados y mariscos,2008,3064.18,15022.59
Canadá,0303,Pescados y mariscos,2008,4019.66,21535.78
Canadá,0304,Pescados y mariscos,2008,1846.76,14333.79
Canadá,0305,Pescados y mariscos,2008,654.44,22501.56
Canadá,0701,Verduras y hortalizas,2008,59.24,37.70
Canadá,0702,Verduras y hortalizas,2008,3005.28,nan
Canadá,0703,Verduras y hortalizas,2008,1148.51,1183.78
Canadá,0704,Verduras y hortalizas,2008,22.84,24.21
Canadá,0705,Verduras y hortalizas,2008,721.92,nan
Canadá,0706,Verduras y hortalizas,2008,31.98,36.99
Canadá,0707,Verduras y hortalizas,2008,521.46,nan
Canadá,0708,Verduras y hortalizas,2008,229.05,1000.29
Canadá,0803,Frutas y frutos secos,2008,2.66,nan
Canadá,0804,Frutas y frutos secos,2008,1316.39,nan
