País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0405,"Huevos, productos lácteos y miel",2007,24368.91,2.18
Singapur,0406,"Huevos, productos lácteos y miel",2007,8971.60,nan
Singapur,0407,"Huevos, productos lácteos y miel",2007,64.04,1.39
Singapur,0408,"Huevos, productos lácteos y miel",2007,19.73,nan
Singapur,0409,"Huevos, productos lácteos y miel",2007,210.24,nan
Singapur,1509,Aceites,2007,2698.59,nan
Singapur,1511,Aceites,2007,nan,5708.98
Singapur,1512,Aceites,2007,108.87,nan
Singapur,2201,Bebidas,2007,5212.56,75.56
Singapur,2202,Bebidas,2007,3558.91,8665.34
Singapur,2203,Bebidas,2007,10789.16,1783.63
Singapur,2204,Bebidas,2007,206467.65,118.99
Singapur,2205,Bebidas,2007,182.54,nan
Singapur,2206,Bebidas,2007,28.44,nan
Singapur,2207,Bebidas,2007,2212.89,nan
Singapur,1803,Chocolates,2007,3726.40,nan
Singapur,1804,Chocolates,2007,166.27,3130.73
Singapur,1805,Chocolates,2007,2959.69,11.59
Singapur,1905,Panaderia y pastelería,2007,7838.79,5931.56
Singapur,0201,Productos cárnicos,2008,3.14,nan
Singapur,0202,Productos cárnicos,2008,31.62,nan
Singapur,0203,Productos cárnicos,2008,16076.60,nan
Singapur,0204,Productos cárnicos,2008,1.22,nan
Singapur,0205,Productos cárnicos,2008,nan,nan
Singapur,0206,Productos cárnicos,2008,4669.50,nan
Singapur,0207,Productos cárnicos,2008,2050.17,9.51
Singapur,0208,Productos cárnicos,2008,47.53,nan
Singapur,0209,Productos cárnicos,2008,263.84,nan
Singapur,0210,Productos cárnicos,2008,2046.15,nan
Singapur,0302,Pescados y mariscos,2008,180.90,6.44
Singapur,0303,Pescados y mariscos,2008,3116.76,8195.92
Singapur,0304,Pescados y mariscos,2008,7106.46,273.48
Singapur,0305,Pescados y mariscos,2008,140.80,4.40
Singapur,0701,Verduras y hortalizas,2008,108.01,nan
Singapur,0702,Verduras y hortalizas,2008,225.30,nan
Singapur,0703,Verduras y hortalizas,2008,1143.52,nan
Singapur,0704,Verduras y hortalizas,2008,19.52,0.00
Singapur,0705,Verduras y hortalizas,2008,36.94,nan
Singapur,0706,Verduras y hortalizas,2008,40.58,nan
Singapur,0707,Verduras y hortalizas,2008,4.43,nan
Singapur,0708,Verduras y hortalizas,2008,0.61,nan
Singapur,0803,Frutas y frutos secos,2008,nan,nan
Singapur,0804,Frutas y frutos secos,2008,18.36,0.16
Singapur,0805,Frutas y frutos secos,2008,234.84,nan
Singapur,0806,Frutas y frutos secos,2008,28.21,nan
Singapur,0807,Frutas y frutos secos,2008,265.01,nan
Singapur,0808,Frutas y frutos secos,2008,2707.43,nan
Singapur,0809,Frutas y frutos secos,2008,38.18,nan
Singapur,0810,Frutas y frutos secos,2008,1071.79,4.44
Singapur,1101,Cereales y harinas,2008,411.91,0.67
Singapur,1102,Cereales y harinas,2008,46.83,nan
Singapur,1103,Cereales y harinas,2008,0.78,nan
Singapur,1104,Cereales y harinas,2008,539.26,nan
Singapur,0401,"Huevos, productos lácteos y miel",2008,3213.68,0.02
Singapur,0402,"Huevos, productos lácteos y miel",2008,25602.34,0.24
Singapur,0403,"Huevos, productos lácteos y miel",2008,3376.17,nan
Singapur,0404,"Huevos, productos lácteos y miel",2008,7926.38,0.01
Singapur,0405,"Huevos, productos lácteos y miel",2008,22290.37,nan
Singapur,0406,"Huevos, productos lácteos y miel",2008,10024.19,0.01
Singapur,0407,"Huevos, productos lácteos y miel",2008,77.31,nan
Singapur,0408,"Huevos, productos lácteos y miel",2008,21.96,nan
Singapur,0409,"Huevos, productos lácteos y miel",2008,212.26,0.56
Singapur,1509,Aceites,2008,3399.22,nan
Singapur,1511,Aceites,2008,nan,9166.19
Singapur,1512,Aceites,2008,96.26,nan
Singapur,2201,Bebidas,2008,6575.28,0.60
Singapur,2202,Bebidas,2008,4397.48,9339.76
Singapur,2203,Bebidas,2008,14584.40,1198.03
Singapur,2204,Bebidas,2008,190951.56,150.97
Singapur,2205,Bebidas,2008,141.22,nan
Singapur,2206,Bebidas,2008,101.14,nan
Singapur,2207,Bebidas,2008,1350.84,nan
Singapur,1803,Chocolates,2008,3341.97,38.69
Singapur,1804,Chocolates,2008,580.66,5.64
Singapur,1805,Chocolates,2008,3195.89,23.43
Singapur,1905,Panaderia y pastelería,2008,10743.68,7033.59
Singapur,0201,Productos cárnicos,2009,nan,nan
Singapur,0202,Productos cárnicos,2009,19.70,nan
Singapur,0203,Productos cárnicos,2009,23886.82,nan
Singapur,0204,Productos cárnicos,2009,1.86,nan
Singapur,0205,Productos cárnicos,2009,nan,nan
Singapur,0206,Productos cárnicos,2009,4688.03,nan
Singapur,0207,Productos cárnicos,2009,1894.51,nan
Singapur,0208,Productos cárnicos,2009,31.04,nan
Singapur,0209,Productos cárnicos,2009,269.45,nan
Singapur,0210,Productos cárnicos,2009,2463.67,nan
Singapur,0302,Pescados y mariscos,2009,151.92,nan
Singapur,0303,Pescados y mariscos,2009,5128.08,10382.41
Singapur,0304,Pescados y mariscos,2009,6570.51,734.00
Singapur,0305,Pescados y mariscos,2009,265.95,nan
Singapur,0701,Verduras y hortalizas,2009,195.83,nan
Singapur,0702,Verduras y hortalizas,2009,92.87,nan
Singapur,0703,Verduras y hortalizas,2009,1561.80,2.46
Singapur,0704,Verduras y hortalizas,2009,6.09,nan
Singapur,0705,Verduras y hortalizas,2009,10.58,nan
Singapur,0706,Verduras y hortalizas,2009,6.59,nan
Singapur,0707,Verduras y hortalizas,2009,1.51,nan
Singapur,0708,Verduras y hortalizas,2009,0.25,nan
Singapur,0803,Frutas y frutos secos,2009,nan,nan
Singapur,0804,Frutas y frutos secos,2009,6.01,nan
Singapur,0805,Frutas y frutos secos,2009,181.89,nan
Singapur,0806,Frutas y frutos secos,2009,66.82,4.59
Singapur,0807,Frutas y frutos secos,2009,261.67,0.04
Singapur,0808,Frutas y frutos secos,2009,2269.61,nan
Singapur,0809,Frutas y frutos secos,2009,238.03,0.34
